Date,Category,Cost,Currency,Person1,Person2,Person3,Person4
2019-07-26,Home - Other,350.0,INR,0.0,-350.0,350.0,0.0
2019-07-26,General,153.0,INR,102.0,0.0,-51.0,-51.0
2019-07-31,General,199.0,INR,-49.75,-49.75,149.25,-49.75
2019-07-31,General,100.0,INR,75.0,-25.0,-25.0,-25.0
2019-07-31,Groceries,99.0,INR,-24.75,-24.75,74.25,-24.75
2019-08-01,Rent,9500.0,INR,-2375.0,-2375.0,7125.0,-2375.0
2019-08-02,Dining out,1437.0,INR,-359.25,-359.25,1077.75,-359.25
2019-08-02,Groceries,95.0,INR,71.25,-23.75,-23.75,-23.75
2019-08-02,Groceries,72.0,INR,-18.0,54.0,-18.0,-18.0
2019-08-02,Dining out,536.0,INR,-134.0,-134.0,402.0,-134.0
2019-08-06,Gas/fuel,578.0,INR,-144.5,-144.5,433.5,-144.5
2019-08-07,Dining out,775.0,INR,-258.34,-258.33,775.0,-258.33
2019-08-12,General,693.0,INR,-173.25,-173.25,519.75,-173.25
2019-08-13,General,787.0,INR,-295.13,0.0,590.25,-295.12
2019-08-20,Electricity,1025.0,INR,-256.25,-256.25,768.75,-256.25
2019-08-22,TV/Phone/Internet,235.0,INR,-58.75,-58.75,176.25,-58.75
2019-08-22,General,961.0,INR,-240.25,-240.25,720.75,-240.25
2019-08-24,Movies,330.0,INR,0.0,-110.0,220.0,-110.0
2019-08-24,Dining out,170.0,INR,-42.5,-42.5,127.5,-42.5
2019-08-24,Dining out,280.0,INR,0.0,-140.0,140.0,0.0
2019-08-25,General,189.0,INR,141.75,-47.25,-47.25,-47.25
2019-08-25,General,300.0,INR,-70.0,-90.0,230.0,-70.0
2019-08-27,Dining out,1400.0,INR,-350.0,-350.0,1050.0,-350.0
2019-08-27,General,280.0,INR,-70.0,-70.0,210.0,-70.0
2019-08-28,Dining out,640.0,INR,-160.0,-160.0,480.0,-160.0
2019-08-30,Dining out,360.0,INR,-90.0,-90.0,-90.0,270.0
2019-08-31,Water,100.0,INR,-25.0,-25.0,-25.0,75.0
2019-09-02,Rent,9500.0,INR,-2375.0,-2375.0,7125.0,-2375.0
2019-09-02,Electricity,230.0,INR,-57.5,-57.5,-57.5,172.5
2019-09-02,General,50.0,INR,-12.5,-12.5,-12.5,37.5
2019-09-02,General,320.0,INR,240.0,-80.0,-80.0,-80.0
2019-09-02,Groceries,40.0,INR,-10.0,-10.0,-10.0,30.0
2019-09-03,Dining out,220.0,INR,-73.33,-73.34,220.0,-73.33
2019-09-04,General,120.0,INR,-30.0,-30.0,-30.0,90.0
2019-09-05,Dining out,684.0,INR,-171.0,-171.0,513.0,-171.0
2019-09-06,Groceries,127.0,INR,-31.75,-31.75,95.25,-31.75
2019-09-17,Dining out,230.0,INR,-76.67,153.34,0.0,-76.67
2019-09-19,Dining out,496.0,INR,-165.34,330.67,0.0,-165.33
2019-09-19,General,1396.0,INR,-349.0,-349.0,1047.0,-349.0
2019-09-24,General,470.0,INR,-117.5,-117.5,-117.5,352.5
2019-09-24,Electricity,975.0,INR,-243.75,-243.75,731.25,-243.75
2019-09-25,Dining out,230.0,INR,-115.0,0.0,0.0,115.0
2019-09-28,General,200.0,INR,-200.0,0.0,0.0,200.0
2019-09-30,General,189.0,INR,141.75,-47.25,-47.25,-47.25
2019-10-01,Rent,9500.0,INR,-2375.0,-2375.0,7125.0,-2375.0
2019-10-07,Dining out,400.0,INR,0.0,-400.0,400.0,0.0
2019-10-14,General,80.0,INR,-20.0,-20.0,-20.0,60.0
2019-10-17,General,540.0,INR,-180.0,0.0,360.0,-180.0
2019-10-21,Electricity,908.0,INR,-227.0,-227.0,681.0,-227.0
2019-10-22,Groceries,90.0,INR,-30.0,0.0,60.0,-30.0
2019-10-23,General,572.0,INR,-190.67,0.0,381.34,-190.67
2019-10-23,Dining out,315.0,INR,-105.0,0.0,210.0,-105.0
2019-10-26,General,110.0,INR,-27.5,-27.5,82.5,-27.5
